student_id,name,gender,date_of_birth,school_name,board,year_of_passing,math_score,science_score,english_score,social_score,second_language_score,overall_percentage,was_consistent_performer,top_subjects,weak_subjects,remedial_classes_taken,average_study_hours_per_day,study_method,preferred_learning_style,attendance_percentage,participated_in_olympiads,extracurricular_focus,leadership_roles,confidence_level_in_subjects,motivation_level,parental_education_level,internet_access_at_home
245,Aarna Khurana,Female,2009-02-06,Carey LLC School,CBSE,2022,55,50,48,50,65,53.6,Yes,"Second Language, Mathematics","English, Science",Yes,1.8,Group,Practical,91,Yes,Debate,Yes,3,3,High School,Yes
246,Zaina Vohra,Male,2007-07-31,"Mullins, Mitchell and Tran School",CBSE,2022,62,69,95,96,60,76.4,Yes,"Social Science, English","Second Language, Mathematics",Yes,1.8,Group,Auditory,73,Yes,Music,No,4,3,Graduate,Yes
247,Urvi Dash,Female,2010-01-22,Jackson and Sons School,ICSE,2023,54,79,40,48,73,58.8,Yes,"Science, Second Language","English, Social Science",Yes,2.2,Coaching,Visual,70,No,None,Yes,5,1,None,Yes
248,Vardaniya Kamdar,Male,2010-02-16,Jensen-Miller School,ICSE,2022,61,100,68,60,62,70.2,Yes,"Science, English","Social Science, Mathematics",No,1.9,Solo,Auditory,82,No,None,No,4,1,Postgraduate,Yes
249,Himmat Sabharwal,Female,2007-09-07,King-Blanchard School,CBSE,2021,58,98,68,100,49,74.6,Yes,"Social Science, Science","Second Language, Mathematics",No,3.8,Group,Practical,88,No,Arts,Yes,2,2,Graduate,Yes
250,Sana Kala,Female,2010-02-09,"Williams, Hayden and Stevens School",State,2021,94,51,92,97,77,82.2,No,"Social Science, Mathematics","Science, Second Language",No,3.5,Coaching,Visual,96,No,Sports,Yes,5,5,None,Yes
251,Yakshit Grover,Male,2010-04-03,Morris-Willis School,State,2022,49,49,85,71,76,66.0,Yes,"English, Second Language","Mathematics, Science",No,1.0,Solo,Reading,90,Yes,Debate,Yes,5,1,High School,Yes
252,Sana Goda,Female,2007-09-26,"Dennis, Andersen and Medina School",ICSE,2023,63,78,78,52,63,66.8,No,"Science, English","Social Science, Mathematics",Yes,1.2,Solo,Reading,99,No,Arts,Yes,2,5,Postgraduate,No
253,Tushar Mangal,Female,2009-08-12,Lopez-Young School,State,2021,86,92,68,52,94,78.4,Yes,"Second Language, Science","Social Science, English",Yes,2.4,Solo,Practical,72,No,Arts,No,2,4,High School,No
254,Nakul Chandra,Female,2008-02-20,Coleman-Robles School,ICSE,2023,68,91,63,47,69,67.6,Yes,"Science, Second Language","Social Science, English",Yes,3.8,Group,Reading,77,Yes,Debate,No,1,1,Postgraduate,No
255,Mannat Wali,Male,2007-12-01,"Harrison, Walker and Banks School",ICSE,2021,51,40,58,88,76,62.6,No,"Social Science, Second Language","Science, Mathematics",Yes,3.2,Group,Practical,80,No,None,Yes,4,5,Graduate,Yes
256,Oorja Bhatnagar,Female,2008-01-01,"Brewer, Quinn and Fuller School",ICSE,2021,55,86,61,91,74,73.4,Yes,"Social Science, Science","Mathematics, English",No,1.2,Coaching,Practical,96,Yes,Sports,No,2,4,Graduate,Yes
257,Anahi Bhakta,Male,2008-06-03,"Baldwin, Gonzalez and Payne School",State,2022,49,88,44,62,72,63.0,No,"Science, Second Language","English, Mathematics",Yes,4.9,Group,Visual,80,Yes,Debate,No,5,4,High School,Yes
258,Hazel Sinha,Female,2008-07-23,Fox-Jefferson School,State,2022,42,47,66,46,65,53.2,No,"English, Second Language","Mathematics, Social Science",Yes,2.4,Coaching,Auditory,92,No,Sports,No,1,3,Graduate,Yes
259,Lavanya Bakshi,Male,2009-09-02,Wiley-Ferguson School,State,2021,67,42,97,77,57,68.0,Yes,"English, Social Science","Science, Second Language",Yes,4.0,Group,Practical,77,No,None,No,5,2,High School,Yes
260,Aarush Tailor,Female,2007-06-24,"Ryan, Nichols and Mclaughlin School",State,2021,95,69,94,53,91,80.4,Yes,"Mathematics, English","Social Science, Science",No,4.5,Coaching,Visual,77,Yes,Music,No,4,3,Postgraduate,No
261,Kavya Raj,Female,2009-10-11,"Garcia, Murillo and Smith School",CBSE,2023,66,80,90,98,72,81.2,Yes,"Social Science, English","Mathematics, Second Language",No,2.7,Coaching,Reading,88,Yes,Debate,Yes,1,5,High School,No
262,Kanav Rajagopalan,Male,2008-04-07,Dillon LLC School,CBSE,2023,80,98,55,72,42,69.4,No,"Science, Mathematics","Second Language, English",Yes,4.6,Coaching,Practical,91,No,Debate,Yes,4,5,Postgraduate,No
263,Anvi Chana,Male,2009-04-21,Mcdaniel-Sanders School,State,2023,100,44,81,65,62,70.4,No,"Mathematics, English","Science, Second Language",No,3.1,Group,Practical,73,No,None,No,4,3,None,Yes
264,Dhanush Tella,Male,2007-11-11,Brewer Ltd School,ICSE,2023,47,90,80,81,64,72.4,Yes,"Science, Social Science","Mathematics, Second Language",No,2.7,Group,Reading,74,No,Sports,Yes,1,5,High School,No
265,Aayush Jain,Male,2008-08-15,Bates-Johnson School,CBSE,2023,87,44,59,45,66,60.2,No,"Mathematics, Second Language","Science, Social Science",Yes,1.0,Group,Reading,75,Yes,Arts,No,4,5,High School,No
266,Yashvi Bala,Female,2009-08-21,Collins LLC School,State,2022,45,63,45,47,97,59.4,No,"Second Language, Science","Mathematics, English",Yes,3.6,Solo,Practical,100,No,Debate,No,1,3,None,No
267,Ritvik Deep,Male,2009-03-14,"Keller, Doyle and Jenkins School",CBSE,2022,46,96,55,63,84,68.8,No,"Science, Second Language","Mathematics, English",Yes,1.8,Coaching,Visual,73,Yes,Debate,No,3,3,High School,No
268,Zeeshan Karpe,Female,2008-12-08,Price-Archer School,ICSE,2023,61,67,67,65,95,71.0,Yes,"Second Language, Science","Mathematics, Social Science",Yes,3.6,Group,Reading,84,No,None,No,5,4,High School,Yes
269,Prisha Warrior,Male,2007-12-05,"Williams, Wheeler and Mills School",CBSE,2023,47,48,68,52,80,59.0,Yes,"Second Language, English","Mathematics, Science",No,4.4,Solo,Visual,87,Yes,None,No,3,4,Postgraduate,No
270,Renee Gulati,Female,2008-03-16,"Torres, Dunn and Fletcher School",ICSE,2023,62,56,94,70,89,74.2,No,"English, Second Language","Science, Mathematics",Yes,4.7,Group,Reading,85,Yes,Arts,Yes,3,1,None,Yes
271,Advik Borah,Male,2009-09-27,Nicholson-Rodgers School,State,2022,91,41,89,55,78,70.8,Yes,"Mathematics, English","Science, Social Science",No,4.4,Solo,Practical,99,Yes,Arts,Yes,1,5,None,Yes
272,Adah Dara,Male,2009-07-08,Scott-Craig School,CBSE,2021,40,77,58,71,47,58.6,Yes,"Science, Social Science","Mathematics, Second Language",Yes,4.1,Group,Practical,91,Yes,Music,Yes,3,2,Graduate,No
273,Suhana Wable,Male,2009-07-16,Anderson-Carter School,State,2022,50,78,85,55,87,71.0,Yes,"Second Language, English","Mathematics, Social Science",No,2.0,Coaching,Visual,87,No,Music,No,4,5,Graduate,Yes
274,Damini Handa,Female,2008-05-11,Whitehead-Macdonald School,CBSE,2021,51,89,47,87,49,64.6,Yes,"Science, Social Science","English, Second Language",Yes,3.6,Group,Reading,85,No,Arts,No,1,1,None,Yes
275,Yuvaan Kadakia,Male,2009-04-15,Smith Inc School,CBSE,2021,57,40,43,73,69,56.4,Yes,"Social Science, Second Language","Science, English",No,4.0,Group,Auditory,98,Yes,None,Yes,4,1,High School,No
276,Nishith Tripathi,Male,2009-08-11,Sanchez-Drake School,State,2022,51,54,56,45,67,54.6,No,"Second Language, English","Social Science, Mathematics",Yes,2.3,Group,Auditory,98,Yes,Sports,No,3,1,Graduate,Yes
277,Azad Ranganathan,Male,2008-05-10,Warren-Holt School,CBSE,2023,73,53,79,66,81,70.4,No,"Second Language, English","Science, Social Science",No,3.8,Group,Practical,78,Yes,Sports,No,4,5,None,Yes
278,Vardaniya Sani,Male,2008-03-20,"Walker, Page and Lopez School",State,2023,89,67,41,98,44,67.8,No,"Social Science, Mathematics","English, Second Language",No,3.2,Group,Visual,84,Yes,Debate,Yes,4,1,Graduate,No
279,Miraya Jayaraman,Female,2009-06-12,Lopez Ltd School,CBSE,2022,52,65,62,77,75,66.2,Yes,"Social Science, Second Language","Mathematics, English",No,3.0,Group,Practical,90,Yes,None,Yes,5,3,Graduate,Yes
280,Yakshit Ganesh,Female,2009-11-08,"Bell, Black and Wilson School",State,2021,91,64,79,71,41,69.2,No,"Mathematics, English","Second Language, Science",No,4.2,Coaching,Auditory,89,Yes,Music,Yes,3,3,High School,Yes
281,Nehmat Dyal,Male,2009-01-03,Bentley Inc School,CBSE,2023,88,66,82,67,59,72.4,Yes,"Mathematics, English","Second Language, Science",No,3.5,Solo,Auditory,85,Yes,Sports,Yes,1,4,Graduate,Yes
282,Vivaan Dua,Female,2009-08-25,Brown Group School,ICSE,2023,57,68,99,84,66,74.8,No,"English, Social Science","Mathematics, Second Language",Yes,4.5,Coaching,Practical,99,Yes,None,Yes,5,3,Postgraduate,Yes
283,Armaan Deo,Female,2008-11-23,"Stevens, Ellis and Howard School",CBSE,2023,56,57,77,59,62,62.2,Yes,"English, Second Language","Mathematics, Science",Yes,2.1,Coaching,Visual,92,No,Sports,No,1,4,Postgraduate,No
284,Ishita Ramachandran,Male,2007-12-13,Smith-Reed School,CBSE,2021,44,45,57,60,40,49.2,No,"Social Science, English","Second Language, Mathematics",No,4.2,Solo,Visual,96,Yes,None,No,2,1,High School,No
285,Mehul Chauhan,Female,2008-03-28,Morse-Page School,State,2023,57,79,78,97,83,78.8,No,"Social Science, Second Language","Mathematics, English",No,4.5,Group,Practical,70,Yes,Arts,No,4,3,Graduate,No
286,Abram Vyas,Female,2008-06-08,Navarro LLC School,State,2023,86,97,57,99,67,81.2,No,"Social Science, Science","English, Second Language",Yes,4.6,Coaching,Reading,79,Yes,Debate,Yes,3,1,Postgraduate,Yes
287,Seher Sabharwal,Male,2009-03-24,Brown-Nelson School,ICSE,2023,89,42,78,70,92,74.2,Yes,"Second Language, Mathematics","Science, Social Science",Yes,1.5,Group,Practical,82,Yes,Debate,Yes,5,5,Postgraduate,Yes
288,Jayan Choudhry,Female,2008-01-16,"Swanson, Davis and Garcia School",State,2023,63,86,98,74,69,78.0,No,"English, Science","Mathematics, Second Language",No,4.4,Coaching,Visual,89,No,Debate,Yes,5,5,Postgraduate,Yes
289,Dhanuk Sankar,Male,2009-05-16,"Collins, Woodward and Kramer School",ICSE,2023,61,100,76,57,62,71.2,No,"Science, English","Social Science, Mathematics",No,3.9,Solo,Practical,89,No,Arts,No,2,5,None,No
290,Keya Dubey,Female,2008-10-06,Jackson and Sons School,ICSE,2021,81,42,84,58,85,70.0,Yes,"Second Language, English","Science, Social Science",No,2.7,Solo,Auditory,92,Yes,Music,No,2,5,Postgraduate,Yes
291,Farhan Bakshi,Female,2009-05-28,Taylor-Young School,State,2023,42,53,100,70,85,70.0,No,"English, Second Language","Mathematics, Science",No,2.9,Solo,Visual,79,No,Arts,Yes,4,3,Graduate,Yes
292,Yuvraj  Bhandari,Male,2008-10-29,"Cooley, Miller and Rubio School",State,2022,54,84,92,51,45,65.2,Yes,"English, Science","Second Language, Social Science",Yes,1.6,Coaching,Practical,98,No,Debate,No,4,5,Graduate,No
293,Shray Ghosh,Female,2008-08-05,"Schroeder, Lang and Williams School",CBSE,2023,57,71,82,90,68,73.6,No,"Social Science, English","Mathematics, Second Language",Yes,1.4,Group,Practical,73,Yes,Arts,No,2,3,None,No
294,Amira Chakraborty,Female,2009-01-27,"Lewis, Paul and Beltran School",ICSE,2021,52,82,68,44,72,63.6,Yes,"Science, Second Language","Social Science, Mathematics",Yes,1.7,Solo,Auditory,83,No,Music,Yes,3,5,Graduate,Yes
295,Advika Loke,Female,2008-05-12,Griffin-Gray School,CBSE,2021,97,71,64,89,45,73.2,Yes,"Mathematics, Social Science","Second Language, English",No,2.1,Solo,Auditory,96,Yes,Arts,Yes,1,2,None,Yes
296,Shalv Varty,Female,2008-11-26,"Yang, Smith and Washington School",CBSE,2023,52,97,54,49,68,64.0,No,"Science, Second Language","Social Science, Mathematics",No,3.0,Solo,Visual,95,No,Music,Yes,2,3,High School,Yes
297,Farhan Varty,Male,2009-08-11,Cuevas-Richards School,State,2021,72,41,49,46,76,56.8,Yes,"Second Language, Mathematics","Science, Social Science",No,1.3,Solo,Auditory,84,No,Music,No,2,5,Postgraduate,Yes
298,Piya D’Alia,Male,2007-08-18,"Torres, Koch and Benton School",State,2023,99,99,67,84,66,83.0,Yes,"Mathematics, Science","Second Language, English",No,3.6,Group,Practical,98,No,Debate,No,2,5,Postgraduate,No
299,Divyansh Atwal,Female,2009-06-16,Green Inc School,State,2023,58,96,49,96,72,74.2,Yes,"Science, Social Science","English, Mathematics",Yes,3.8,Coaching,Visual,97,Yes,Music,No,4,2,High School,Yes
300,Anahita Gandhi,Male,2009-05-11,"Knox, Johnson and Andrews School",State,2022,88,46,50,87,63,66.8,Yes,"Mathematics, Social Science","Science, English",Yes,4.1,Coaching,Auditory,95,Yes,None,No,4,4,High School,Yes
301,Oorja Divan,Female,2009-06-25,Thompson LLC School,CBSE,2022,94,55,81,49,77,71.2,No,"Mathematics, English","Social Science, Science",No,1.1,Solo,Reading,71,No,Sports,No,3,2,None,Yes
302,Hansh Dhaliwal,Male,2008-07-11,Davis-Butler School,CBSE,2022,48,61,66,80,92,69.4,No,"Second Language, Social Science","Mathematics, Science",Yes,1.6,Group,Reading,94,Yes,Sports,No,5,3,None,No
303,Advik Rastogi,Female,2008-10-18,Rodriguez Ltd School,State,2023,48,62,89,51,86,67.2,No,"English, Second Language","Mathematics, Social Science",Yes,1.7,Solo,Visual,76,Yes,Debate,No,5,4,Graduate,Yes
304,Anahi Goel,Male,2008-10-05,"Reese, Hughes and Gutierrez School",ICSE,2023,60,50,86,74,83,70.6,Yes,"English, Second Language","Science, Mathematics",No,2.8,Coaching,Auditory,87,Yes,None,No,3,3,None,No
305,Sahil Sundaram,Female,2007-06-15,Wilcox-Rodriguez School,State,2023,60,63,55,82,43,60.6,Yes,"Social Science, Science","Second Language, English",No,1.0,Coaching,Practical,89,Yes,None,No,1,1,Graduate,Yes
306,Emir Kapoor,Female,2009-04-15,Cook PLC School,State,2022,88,100,67,66,96,83.4,Yes,"Science, Second Language","Social Science, English",No,2.5,Solo,Practical,72,Yes,Music,Yes,2,3,None,No
307,Samarth Yogi,Male,2007-07-14,Burns Inc School,CBSE,2023,46,47,47,91,57,57.6,No,"Social Science, Second Language","Mathematics, Science",Yes,4.2,Coaching,Reading,91,Yes,Debate,Yes,3,5,Postgraduate,No
308,Anya Verma,Male,2010-04-02,Scott-Graves School,ICSE,2023,87,61,100,72,100,84.0,Yes,"English, Second Language","Science, Social Science",Yes,2.2,Solo,Auditory,95,Yes,Arts,No,3,2,None,No
309,Oorja Tata,Male,2008-01-16,Gill Group School,State,2023,98,77,40,88,50,70.6,Yes,"Mathematics, Social Science","English, Second Language",Yes,1.6,Coaching,Visual,96,Yes,Debate,Yes,2,5,Postgraduate,Yes
310,Raghav Tripathi,Male,2008-02-23,Anderson-Davis School,CBSE,2023,43,46,80,93,49,62.2,Yes,"Social Science, English","Mathematics, Science",Yes,4.5,Group,Visual,71,No,None,Yes,1,1,None,No
311,Dhruv Din,Female,2009-02-24,Craig LLC School,State,2022,60,40,74,92,60,65.2,Yes,"Social Science, English","Science, Mathematics",Yes,1.4,Solo,Auditory,88,No,Music,No,3,3,Graduate,No
312,Nitara Wason,Female,2009-06-14,"Smith, Davis and Barrett School",State,2021,95,72,77,58,96,79.6,Yes,"Second Language, Mathematics","Social Science, Science",Yes,3.6,Solo,Practical,87,No,Music,Yes,1,1,Postgraduate,No
313,Zoya Chakraborty,Female,2009-08-17,Cox Inc School,ICSE,2021,40,68,66,84,58,63.2,No,"Social Science, Science","Mathematics, Second Language",No,4.1,Group,Reading,70,Yes,Sports,No,4,5,High School,Yes
314,Sahil Grover,Male,2009-11-04,"Faulkner, Parker and Oneill School",ICSE,2021,78,47,98,93,76,78.4,Yes,"English, Social Science","Science, Second Language",No,3.6,Coaching,Reading,75,No,Sports,Yes,3,1,Graduate,Yes
315,Jayan Borah,Male,2008-07-12,Thompson PLC School,ICSE,2023,81,94,46,95,43,71.8,No,"Social Science, Science","Second Language, English",Yes,2.3,Coaching,Practical,89,No,None,Yes,4,4,None,Yes
316,Ivan Koshy,Male,2008-12-21,Sexton PLC School,CBSE,2023,86,63,74,61,94,75.6,Yes,"Second Language, Mathematics","Social Science, Science",Yes,2.0,Solo,Reading,91,No,None,Yes,1,2,Postgraduate,No
317,Eshani Vyas,Male,2007-11-27,Dunn-Harris School,State,2021,48,79,81,56,88,70.4,Yes,"Second Language, English","Mathematics, Social Science",Yes,1.8,Coaching,Auditory,71,No,Sports,Yes,3,1,None,No
318,Drishya Butala,Female,2008-03-26,"Gonzalez, Harvey and Oliver School",State,2021,63,98,61,99,56,75.4,Yes,"Social Science, Science","Second Language, English",No,2.6,Coaching,Auditory,95,Yes,Sports,No,1,3,Graduate,Yes
319,Zaina Loke,Male,2009-05-09,Kim-Washington School,CBSE,2022,78,97,78,67,56,75.2,Yes,"Science, Mathematics","Second Language, Social Science",Yes,4.6,Solo,Visual,90,No,Sports,No,1,5,High School,Yes
320,Shamik Bhardwaj,Male,2008-03-18,"Jackson, Hanson and Santana School",State,2021,73,83,68,40,84,69.6,No,"Second Language, Science","Social Science, English",No,4.6,Solo,Reading,95,Yes,None,No,4,5,None,No
321,Kaira Kaul,Male,2008-07-16,Hunter and Sons School,CBSE,2021,43,49,85,60,78,63.0,Yes,"English, Second Language","Mathematics, Science",Yes,3.5,Solo,Practical,81,Yes,Sports,Yes,4,5,Postgraduate,Yes
322,Arnav Dey,Female,2008-09-29,"Jones, Martin and Byrd School",State,2021,65,93,55,54,72,67.8,No,"Science, Second Language","Social Science, English",Yes,2.1,Group,Practical,71,No,Sports,Yes,1,4,High School,Yes
323,Shanaya Bhatia,Female,2008-05-22,Rodriguez and Sons School,State,2021,49,73,78,48,81,65.8,No,"Second Language, English","Social Science, Mathematics",No,3.0,Solo,Visual,83,No,Music,Yes,3,1,None,No
324,Emir Chahal,Female,2008-02-05,Baker Inc School,ICSE,2022,70,94,91,69,43,73.4,No,"Science, English","Second Language, Social Science",Yes,1.4,Coaching,Practical,89,Yes,Sports,Yes,1,3,Graduate,Yes
325,Mahika Kumar,Female,2008-02-17,"Bradford, Craig and Collins School",CBSE,2021,77,43,46,46,71,56.6,Yes,"Mathematics, Second Language","Science, English",No,2.8,Group,Reading,80,No,None,Yes,4,4,Graduate,Yes
326,Jayan Raval,Male,2008-05-30,"Price, Roberts and Moore School",ICSE,2023,74,80,86,84,99,84.6,Yes,"Second Language, English","Mathematics, Science",Yes,3.2,Coaching,Practical,84,No,Arts,No,2,3,High School,No
327,Chirag Venkataraman,Female,2009-04-15,Craig-Gilbert School,CBSE,2022,63,61,54,71,93,68.4,No,"Second Language, Social Science","English, Science",No,2.9,Coaching,Auditory,78,No,Arts,No,5,1,Postgraduate,No
328,Alia Tak,Female,2010-02-02,"Mitchell, Yu and Schroeder School",ICSE,2021,62,89,78,65,54,69.6,Yes,"Science, English","Second Language, Mathematics",Yes,4.5,Solo,Visual,94,Yes,Music,Yes,2,3,Postgraduate,No
329,Diya Konda,Female,2008-05-07,Fry Inc School,ICSE,2021,84,58,62,48,72,64.8,No,"Mathematics, Second Language","Social Science, Science",Yes,1.5,Coaching,Reading,80,Yes,Music,No,2,5,High School,No
330,Dhanuk Apte,Female,2009-02-24,"Hodge, Ingram and Howell School",CBSE,2021,45,80,51,98,75,69.8,Yes,"Social Science, Science","Mathematics, English",Yes,1.3,Coaching,Visual,87,No,None,No,5,3,Postgraduate,Yes
331,Prisha Badami,Male,2008-11-14,Watson-Elliott School,State,2021,76,42,83,88,95,76.8,Yes,"Second Language, Social Science","Science, Mathematics",No,1.9,Solo,Auditory,71,Yes,None,Yes,3,2,Graduate,No
332,Bhamini Brar,Female,2009-10-08,Fry-Green School,CBSE,2022,42,87,95,47,54,65.0,Yes,"English, Science","Mathematics, Social Science",No,3.3,Group,Reading,75,Yes,Debate,No,4,3,None,Yes
333,Samiha Raja,Male,2007-08-15,Green Group School,CBSE,2021,47,53,45,48,100,58.6,No,"Second Language, Science","English, Mathematics",Yes,4.5,Group,Auditory,91,No,Arts,Yes,1,5,None,Yes
334,Armaan Sathe,Female,2007-08-31,Williams-Gillespie School,CBSE,2023,68,71,96,66,87,77.6,No,"English, Second Language","Social Science, Mathematics",Yes,3.6,Solo,Auditory,83,Yes,Arts,Yes,1,1,Graduate,Yes
335,Vedika Goswami,Female,2008-11-20,"Stephens, Scott and May School",ICSE,2023,50,84,66,70,67,67.4,No,"Science, Social Science","Mathematics, English",No,1.7,Coaching,Practical,96,Yes,Sports,No,4,2,High School,Yes
336,Damini Baral,Female,2009-03-29,"Rich, Montoya and Wade School",CBSE,2022,84,90,85,87,87,86.6,Yes,"Science, Social Science","Mathematics, English",No,5.0,Coaching,Reading,93,Yes,Debate,Yes,3,3,Graduate,No
337,Indranil Batta,Male,2007-09-22,Edwards Inc School,State,2021,43,87,49,77,66,64.4,Yes,"Science, Social Science","Mathematics, English",Yes,1.9,Solo,Practical,84,No,Music,No,3,2,Postgraduate,No
338,Zaina Shere,Female,2007-08-16,Davis-Taylor School,State,2022,74,42,68,46,80,62.0,Yes,"Second Language, Mathematics","Science, Social Science",No,3.2,Group,Practical,81,Yes,Sports,Yes,2,1,Graduate,Yes
339,Ranbir Bora,Female,2007-07-11,Ford Ltd School,ICSE,2022,74,96,43,42,50,61.0,No,"Science, Mathematics","Social Science, English",Yes,1.3,Coaching,Reading,99,Yes,Debate,No,1,1,None,Yes
340,Armaan Sarkar,Male,2009-06-14,Sheppard-Gray School,ICSE,2023,69,80,40,99,69,71.4,Yes,"Social Science, Science","English, Mathematics",No,3.1,Solo,Practical,86,No,Sports,No,5,2,None,No
341,Alisha Suri,Female,2008-05-05,Sanchez-Dickerson School,CBSE,2023,62,77,89,68,52,69.6,Yes,"English, Science","Second Language, Mathematics",No,2.1,Group,Practical,81,No,Arts,Yes,4,5,Postgraduate,Yes
342,Divyansh Raju,Male,2007-08-04,"Ramsey, Morrison and Lewis School",CBSE,2022,44,45,63,52,97,60.2,Yes,"Second Language, English","Mathematics, Science",No,2.1,Coaching,Visual,95,Yes,Arts,No,5,2,Graduate,No
343,Kimaya Dara,Male,2010-01-16,Barker Inc School,CBSE,2022,66,86,91,40,95,75.6,Yes,"Second Language, English","Social Science, Mathematics",No,1.4,Group,Reading,99,Yes,Sports,Yes,2,4,Postgraduate,Yes
344,Kiaan Upadhyay,Male,2008-09-24,"Weaver, Carter and Lee School",ICSE,2022,95,66,42,74,71,69.6,No,"Mathematics, Social Science","English, Science",Yes,4.6,Group,Practical,82,Yes,Debate,No,1,3,None,Yes
345,Riaan Dass,Male,2008-10-30,Jimenez-Brooks School,CBSE,2023,81,99,76,80,77,82.6,No,"Science, Mathematics","English, Second Language",No,2.3,Coaching,Visual,79,No,Music,No,5,4,None,Yes
346,Dharmajan Johal,Male,2010-04-06,Payne Inc School,CBSE,2022,99,45,94,85,85,81.6,No,"Mathematics, English","Science, Social Science",No,3.1,Group,Reading,100,No,Music,Yes,1,3,Postgraduate,No
347,Sumer Chada,Male,2008-11-02,Graham-Jackson School,ICSE,2022,47,53,44,96,93,66.6,No,"Social Science, Second Language","English, Mathematics",No,2.3,Group,Reading,77,No,Sports,Yes,2,2,Postgraduate,No
348,Elakshi Sagar,Female,2007-05-28,Campbell Inc School,ICSE,2021,51,69,86,48,98,70.4,No,"Second Language, English","Social Science, Mathematics",Yes,2.2,Solo,Auditory,75,No,Sports,No,4,3,None,Yes
349,Lakshit Kibe,Female,2010-04-09,Stevenson LLC School,ICSE,2021,69,47,94,97,40,69.4,No,"Social Science, English","Second Language, Science",No,2.2,Coaching,Reading,72,Yes,Arts,No,1,4,None,Yes
350,Aaryahi Dewan,Female,2009-11-22,Jackson PLC School,CBSE,2023,62,51,59,50,61,56.6,No,"Mathematics, Second Language","Social Science, Science",Yes,1.4,Coaching,Reading,94,Yes,Music,Yes,5,4,None,No
351,Emir Handa,Male,2007-12-30,Perez-Bonilla School,CBSE,2021,80,84,56,46,83,69.8,No,"Science, Second Language","Social Science, English",Yes,2.5,Solo,Practical,74,Yes,None,Yes,1,4,Graduate,Yes
352,Kartik Date,Male,2009-09-06,Johnson-Henderson School,CBSE,2023,80,74,96,94,82,85.2,No,"English, Social Science","Science, Mathematics",No,2.5,Coaching,Auditory,92,Yes,None,Yes,5,2,Postgraduate,Yes
353,Zaina Bose,Male,2009-02-09,Mccarthy-Roberts School,CBSE,2021,91,53,94,45,56,67.8,No,"English, Mathematics","Social Science, Science",Yes,2.8,Solo,Auditory,72,No,Debate,No,1,1,Postgraduate,Yes
354,Arnav Chakraborty,Male,2009-06-18,Griffith PLC School,ICSE,2022,50,53,68,98,75,68.8,No,"Social Science, Second Language","Mathematics, Science",Yes,1.8,Coaching,Visual,85,Yes,Sports,Yes,3,4,Postgraduate,No
355,Azad Chad,Male,2007-10-19,Dominguez-Lopez School,State,2023,98,43,71,78,86,75.2,Yes,"Mathematics, Second Language","Science, English",Yes,3.7,Group,Practical,73,No,Debate,No,2,2,High School,No
356,Anahi Bora,Female,2009-03-29,Johnson Group School,State,2021,78,63,41,78,96,71.2,No,"Second Language, Mathematics","English, Science",No,4.4,Solo,Practical,82,No,Debate,No,3,4,None,No
357,Kartik Soman,Female,2009-06-16,Navarro LLC School,State,2023,99,44,76,86,71,75.2,Yes,"Mathematics, Social Science","Science, Second Language",Yes,1.5,Coaching,Reading,99,No,Sports,Yes,5,3,High School,Yes
358,Mahika Sahni,Male,2007-08-06,"Dawson, Fritz and Potter School",CBSE,2023,71,49,96,58,99,74.6,No,"Second Language, English","Science, Social Science",Yes,1.4,Coaching,Auditory,92,No,Music,Yes,2,3,High School,Yes
359,Parinaaz Chauhan,Female,2009-03-20,"Long, Walker and Mueller School",CBSE,2023,47,87,69,60,58,64.2,No,"Science, English","Mathematics, Second Language",Yes,2.4,Solo,Practical,94,Yes,Music,Yes,1,3,None,No
360,Shlok Kannan,Female,2008-02-09,Moore-Davis School,CBSE,2022,99,66,80,81,59,77.0,No,"Mathematics, Social Science","Second Language, Science",No,3.6,Group,Auditory,84,No,Arts,Yes,3,2,High School,Yes
361,Uthkarsh Khare,Male,2010-02-22,Rose LLC School,ICSE,2022,55,100,94,47,50,69.2,Yes,"Science, English","Social Science, Second Language",Yes,1.7,Group,Reading,70,No,Music,Yes,4,4,None,No
362,Krish Thaker,Male,2009-08-06,"Rodriguez, Brock and Ali School",ICSE,2022,44,84,58,71,86,68.6,Yes,"Second Language, Science","Mathematics, English",No,3.4,Coaching,Visual,75,Yes,None,Yes,2,2,Graduate,Yes
363,Damini Gokhale,Female,2009-01-11,"Wright, Moore and Smith School",ICSE,2021,67,70,44,73,52,61.2,Yes,"Social Science, Science","English, Second Language",Yes,3.6,Coaching,Visual,94,Yes,None,No,2,1,None,Yes
364,Nayantara Subramaniam,Female,2008-09-15,Bass-Jones School,ICSE,2022,62,69,72,78,89,74.0,Yes,"Second Language, Social Science","Mathematics, Science",No,2.5,Solo,Reading,94,No,Arts,No,3,4,Postgraduate,No
365,Shaan Sarma,Male,2008-06-05,Smith-Lane School,ICSE,2022,99,43,48,55,98,68.6,Yes,"Mathematics, Second Language","Science, English",Yes,4.2,Coaching,Reading,70,No,Arts,No,1,5,Graduate,No
366,Urvi Venkatesh,Female,2007-07-31,"Thompson, Mayer and Vaughan School",CBSE,2022,46,71,80,40,59,59.2,Yes,"English, Science","Social Science, Mathematics",Yes,3.2,Solo,Practical,92,No,None,Yes,4,5,High School,Yes
